evaluation_month,n_common_sample_months,model,permno,weight
2021-12,114,Minimum Variance Long Only,84788,4.449030850668445e-19
2021-12,114,Minimum Variance Long Only,48486,3.6937807320382873e-19
2021-12,114,Minimum Variance Long Only,36468,3.6362448721803973e-19
2021-12,114,Minimum Variance Long Only,48725,3.0942077410538527e-19
2021-12,114,Minimum Variance Long Only,17478,2.7608730136696065e-19
2021-12,114,Minimum Variance Long Only,86868,2.5951430481842e-19
2021-12,114,Minimum Variance Long Only,47896,2.4912737492381956e-19
2021-12,114,Minimum Variance Long Only,77178,2.38978502577108e-19
2021-12,114,Minimum Variance Long Only,69032,1.7470537026585097e-19
2021-12,114,Minimum Variance Long Only,91233,8.994846020797759e-20
2021-12,114,Minimum Variance Long Only,86783,5.510581566535681e-20
2021-12,114,Minimum Variance Long Only,13928,1.7420744350521776e-20
2021-12,114,Minimum Variance Long Only,17830,1.104297084153028e-21
2021-12,114,Minimum Variance Long Only,14593,0.0
2021-12,114,Minimum Variance Long Only,13407,0.0
2021-12,114,Minimum Variance Long Only,92655,0.0
2021-12,114,Minimum Variance Long Only,22111,0.0
2021-12,114,Minimum Variance Long Only,83443,0.0
2021-12,114,Minimum Variance Long Only,75510,0.0
2021-12,114,Minimum Variance Long Only,26403,0.0
2021-12,114,Minimum Variance Long Only,17778,0.0
2021-12,114,Minimum Variance Long Only,11850,0.0
2021-12,114,Minimum Variance Long Only,87055,0.0
2021-12,114,Minimum Variance Long Only,76076,0.0
2021-12,114,Minimum Variance Long Only,49680,0.0
2021-12,114,Minimum Variance Long Only,89525,0.0
2021-12,114,Minimum Variance Long Only,11308,0.0
2021-12,114,Minimum Variance Long Only,13856,0.0
2021-12,114,Minimum Variance Long Only,61241,0.0
2021-12,114,Minimum Variance Long Only,38703,0.0
2021-12,114,Minimum Variance Long Only,15579,0.0
2021-12,114,Minimum Variance Long Only,61399,0.0
2021-12,114,Minimum Variance Long Only,87447,0.0
2021-12,114,Minimum Variance Long Only,10145,0.0
2021-12,114,Minimum Variance Long Only,92602,0.0
2021-12,114,Minimum Variance Long Only,59176,0.0
2021-12,114,Minimum Variance Long Only,49154,0.0
2021-12,114,Minimum Variance Long Only,19561,0.0
2021-12,114,Minimum Variance Long Only,88352,0.0
2021-12,114,Minimum Variance Long Only,14008,0.0
2021-12,114,Minimum Variance Long Only,19350,0.0
2021-12,114,Minimum Variance Long Only,12490,0.0
2021-12,114,Minimum Variance Long Only,12060,0.0
2021-12,114,Minimum Variance Long Only,22592,0.0
